Time,ERCOT_Total
2025-08-27 16:00:00,63626
2025-08-27 17:00:00,67635
2025-08-27 18:00:00,70973
2025-08-27 19:00:00,73985
2025-08-27 20:00:00,76430
2025-08-27 21:00:00,78325
2025-08-27 22:00:00,79423
2025-08-27 23:00:00,79714
2025-08-28 00:00:00,78333
2025-08-28 01:00:00,75656
2025-08-28 02:00:00,73908
2025-08-28 03:00:00,71239
2025-08-28 04:00:00,67576
2025-08-28 05:00:00,63615
2025-08-28 06:00:00,60256
2025-08-28 07:00:00,57788
2025-08-28 08:00:00,55877
2025-08-28 09:00:00,54832
2025-08-28 10:00:00,54760
2025-08-28 11:00:00,55947
2025-08-28 12:00:00,57798
2025-08-28 13:00:00,58082
2025-08-28 14:00:00,60071
2025-08-28 15:00:00,63927
2025-08-28 16:00:00,68026
2025-08-28 17:00:00,72197
2025-08-28 18:00:00,76056
2025-08-28 19:00:00,79814
2025-08-28 20:00:00,82497
2025-08-28 21:00:00,82827
2025-08-28 22:00:00,82692
2025-08-28 23:00:00,81983
2025-08-29 00:00:00,80169
2025-08-29 01:00:00,77272
2025-08-29 02:00:00,75154
2025-08-29 03:00:00,72295
2025-08-29 04:00:00,68409
2025-08-29 05:00:00,64454
2025-08-29 06:00:00,60824
2025-08-29 07:00:00,58337
2025-08-29 08:00:00,56535
2025-08-29 09:00:00,55324
2025-08-29 10:00:00,54841
2025-08-29 11:00:00,55516
2025-08-29 12:00:00,56791
2025-08-29 13:00:00,57150
2025-08-29 14:00:00,59035
2025-08-29 15:00:00,61919
2025-08-29 16:00:00,64722
2025-08-29 17:00:00,67742
2025-08-29 18:00:00,70746
2025-08-29 19:00:00,73500
2025-08-29 20:00:00,75634
2025-08-29 21:00:00,76485
2025-08-29 22:00:00,75919
2025-08-29 23:00:00,75044
2025-08-30 00:00:00,73297
2025-08-30 01:00:00,70954
2025-08-30 02:00:00,69173
2025-08-30 03:00:00,67287
2025-08-30 04:00:00,64372
2025-08-30 05:00:00,61421
2025-08-30 06:00:00,58380
2025-08-30 07:00:00,56000
2025-08-30 08:00:00,54034
2025-08-30 09:00:00,52695
2025-08-30 10:00:00,51770
2025-08-30 11:00:00,51371
2025-08-30 12:00:00,51678
2025-08-30 13:00:00,51911
2025-08-30 14:00:00,54177
2025-08-30 15:00:00,57679
2025-08-30 16:00:00,61157
2025-08-30 17:00:00,64284
2025-08-30 18:00:00,66817
